timecode,character
2.398340249,OBI-WAN
2.4066390041,OBI-WAN
2.4107883817,OBI-WAN
2.4232365145,OBI-WAN
2.4273858921,OBI-WAN
2.4315352697,OBI-WAN
2.4356846473,OBI-WAN
2.4439834025,OBI-WAN
2.4481327801,OBI-WAN
2.4522821577,OBI-WAN
2.4564315353,OBI-WAN
2.4605809129,OBI-WAN
2.4647302905,OBI-WAN
2.468879668,OBI-WAN
2.4730290456,OBI-WAN
2.4937759336,OBI-WAN
2.4979253112,OBI-WAN
2.5020746888,OBI-WAN
2.5062240664,OBI-WAN
2.510373444,OBI-WAN
2.5145228216,OBI-WAN
2.5394190871,OBI-WAN
2.5477178423,OBI-WAN
2.6265560166,OBI-WAN
2.6514522822,OBI-WAN
2.6556016598,OBI-WAN
2.6597510373,OBI-WAN
2.6639004149,OBI-WAN
2.6721991701,OBI-WAN
2.6763485477,OBI-WAN
2.6804979253,OBI-WAN
2.6929460581,OBI-WAN
2.6970954357,OBI-WAN
2.7219917012,OBI-WAN
2.734439834,OBI-WAN
2.7634854772,OBI-WAN
2.7676348548,OBI-WAN
2.77593361,OBI-WAN
2.7925311203,OBI-WAN
2.7966804979,OBI-WAN
2.8091286307,OBI-WAN
2.8174273859,OBI-WAN
2.8298755187,OBI-WAN
2.8381742739,OBI-WAN
2.846473029,OBI-WAN
2.8506224066,OBI-WAN
2.8547717842,OBI-WAN
2.867219917,OBI-WAN
2.8796680498,OBI-WAN
2.887966805,OBI-WAN
2.8921161826,OBI-WAN
2.8962655602,OBI-WAN
2.9004149378,OBI-WAN
2.9211618257,OBI-WAN
2.9294605809,OBI-WAN
2.9377593361,OBI-WAN
2.9460580913,OBI-WAN
2.9543568465,OBI-WAN
2.9668049793,OBI-WAN
2.9958506224,OBI-WAN
3.0616016427,OBI-WAN
3.0636550308,OBI-WAN
3.0780287474,OBI-WAN
3.0841889117,OBI-WAN
3.0882956879,OBI-WAN
3.090349076,OBI-WAN
3.0924024641,OBI-WAN
3.0985626283,OBI-WAN
3.1088295688,OBI-WAN
3.1108829569,OBI-WAN
3.112936345,OBI-WAN
3.1149897331,OBI-WAN
3.1170431211,OBI-WAN
3.1211498973,OBI-WAN
3.1232032854,OBI-WAN
3.1334702259,OBI-WAN
3.1375770021,OBI-WAN
3.1437371663,OBI-WAN
3.1622176591,OBI-WAN
3.1663244353,OBI-WAN
3.1765913758,OBI-WAN
3.18275154,OBI-WAN
3.1868583162,OBI-WAN
3.1909650924,OBI-WAN
3.1950718686,OBI-WAN
3.2114989733,OBI-WAN
3.2156057495,OBI-WAN
3.2197125257,OBI-WAN
3.2320328542,OBI-WAN
3.2340862423,OBI-WAN
3.2361396304,OBI-WAN
3.273100616,OBI-WAN
3.2772073922,OBI-WAN
3.2895277207,OBI-WAN
3.295687885,OBI-WAN
3.2997946612,OBI-WAN
3.3018480493,OBI-WAN
3.3039014374,OBI-WAN
3.3100616016,OBI-WAN
3.4291581109,OBI-WAN
3.8952772074,OBI-WAN
3.8993839836,OBI-WAN
3.9075975359,OBI-WAN
3.9897330595,OBI-WAN
4.0607142857,OBI-WAN
4.5464285714,OBI-WAN
4.5535714286,OBI-WAN
4.5892857143,OBI-WAN
4.7107142857,OBI-WAN
4.8035714286,OBI-WAN
4.8357142857,OBI-WAN
4.8464285714,OBI-WAN
4.9321428571,OBI-WAN
4.95,OBI-WAN
5.1102941176,OBI-WAN
5.3308823529,OBI-WAN
5.3529411765,OBI-WAN
5.5514705882,OBI-WAN
5.8382352941,OBI-WAN
5.875,OBI-WAN
5.9926470588,OBI-WAN
0.0765027322,EMPEROR
0.1366120219,EMPEROR
0.1857923497,EMPEROR
0.2240437158,EMPEROR
0.3442622951,EMPEROR
0.6666666667,EMPEROR
0.6721311475,EMPEROR
0.6775956284,EMPEROR
0.6885245902,EMPEROR
0.6994535519,EMPEROR
0.7158469945,EMPEROR
0.7267759563,EMPEROR
0.7322404372,EMPEROR
0.7923497268,EMPEROR
0.8032786885,EMPEROR
0.9781420765,EMPEROR
0.9890710383,EMPEROR
0.9945355191,EMPEROR
1.0266666667,EMPEROR
1.04,EMPEROR
1.1,EMPEROR
1.74,EMPEROR
1.8,EMPEROR
1.84,EMPEROR
1.9666666667,EMPEROR
1.9933333333,EMPEROR
2.0041493776,EMPEROR
2.0456431535,EMPEROR
2.1576763485,EMPEROR
2.1618257261,EMPEROR
2.1742738589,EMPEROR
2.2074688797,EMPEROR
2.2157676349,EMPEROR
2.2199170124,EMPEROR
2.22406639,EMPEROR
2.2323651452,EMPEROR
2.2365145228,EMPEROR
2.2406639004,EMPEROR
2.244813278,EMPEROR
2.2531120332,EMPEROR
2.2572614108,EMPEROR
2.2614107884,EMPEROR
2.2780082988,EMPEROR
2.2863070539,EMPEROR
2.2904564315,EMPEROR
2.2987551867,EMPEROR
2.3278008299,EMPEROR
2.3319502075,EMPEROR
2.3360995851,EMPEROR
2.3443983402,EMPEROR
2.3485477178,EMPEROR
2.3651452282,EMPEROR
2.3734439834,EMPEROR
2.4149377593,EMPEROR
2.4190871369,EMPEROR
2.4605809129,EMPEROR
2.4813278008,EMPEROR
2.489626556,EMPEROR
2.5145228216,EMPEROR
2.5186721992,EMPEROR
2.531120332,EMPEROR
2.5394190871,EMPEROR
2.5477178423,EMPEROR
2.5518672199,EMPEROR
2.5684647303,EMPEROR
2.5850622407,EMPEROR
2.6887966805,EMPEROR
2.7302904564,EMPEROR
2.7427385892,EMPEROR
2.7510373444,EMPEROR
2.7676348548,EMPEROR
2.77593361,EMPEROR
2.8008298755,EMPEROR
2.8132780083,EMPEROR
2.8257261411,EMPEROR
2.8340248963,EMPEROR
2.8423236515,EMPEROR
2.8630705394,EMPEROR
2.887966805,EMPEROR
2.9087136929,EMPEROR
2.9128630705,EMPEROR
2.9170124481,EMPEROR
2.9253112033,EMPEROR
2.9336099585,EMPEROR
2.9585062241,EMPEROR
2.9668049793,EMPEROR
2.9834024896,EMPEROR
3.0102669405,EMPEROR
3.0965092402,EMPEROR
3.1724845996,EMPEROR
4.5392857143,EMPEROR
4.5464285714,EMPEROR
4.7107142857,EMPEROR
4.7571428571,EMPEROR
4.8035714286,EMPEROR
4.8357142857,EMPEROR
5.0220588235,EMPEROR
5.3308823529,EMPEROR
5.3455882353,EMPEROR
5.3529411765,EMPEROR
5.3676470588,EMPEROR
5.3970588235,EMPEROR
5.4779411765,EMPEROR
5.4852941176,EMPEROR
5.5367647059,EMPEROR
5.5514705882,EMPEROR
5.6397058824,EMPEROR
5.6985294118,EMPEROR
5.7279411765,EMPEROR
5.7352941176,EMPEROR
5.7426470588,EMPEROR
5.8161764706,EMPEROR
5.8382352941,EMPEROR
5.875,EMPEROR
5.8970588235,EMPEROR
0.174863388,PADME
0.1803278689,PADME
0.1857923497,PADME
0.1912568306,PADME
0.2295081967,PADME
0.2349726776,PADME
0.262295082,PADME
0.2677595628,PADME
0.2786885246,PADME
0.2896174863,PADME
0.2950819672,PADME
0.3005464481,PADME
0.3114754098,PADME
0.3169398907,PADME
0.3224043716,PADME
0.3278688525,PADME
0.349726776,PADME
0.3551912568,PADME
0.3715846995,PADME
0.3770491803,PADME
0.3989071038,PADME
0.4043715847,PADME
0.4153005464,PADME
0.4480874317,PADME
0.4590163934,PADME
0.4754098361,PADME
0.4863387978,PADME
0.4972677596,PADME
0.5081967213,PADME
0.5355191257,PADME
0.5409836066,PADME
0.5846994536,PADME
0.5901639344,PADME
0.6393442623,PADME
0.6666666667,PADME
0.6721311475,PADME
0.6885245902,PADME
0.7267759563,PADME
0.7540983607,PADME
0.7759562842,PADME
0.7868852459,PADME
0.7978142077,PADME
0.8087431694,PADME
0.8142076503,PADME
0.8306010929,PADME
0.8415300546,PADME
0.8743169399,PADME
0.8797814208,PADME
0.912568306,PADME
0.9344262295,PADME
0.9781420765,PADME
1.0133333333,PADME
1.0266666667,PADME
1.06,PADME
1.08,PADME
1.0866666667,PADME
1.0933333333,PADME
1.1066666667,PADME
1.12,PADME
1.1666666667,PADME
1.18,PADME
1.2133333333,PADME
1.2333333333,PADME
1.24,PADME
1.2466666667,PADME
1.2666666667,PADME
1.2733333333,PADME
1.28,PADME
1.2866666667,PADME
1.3,PADME
1.32,PADME
1.3266666667,PADME
1.3533333333,PADME
1.36,PADME
1.3933333333,PADME
1.48,PADME
1.4866666667,PADME
1.52,PADME
1.5666666667,PADME
1.5733333333,PADME
1.58,PADME
1.5933333333,PADME
1.6,PADME
1.6533333333,PADME
1.66,PADME
1.7533333333,PADME
1.76,PADME
1.7666666667,PADME
1.7733333333,PADME
1.82,PADME
1.8266666667,PADME
1.8333333333,PADME
1.84,PADME
1.8466666667,PADME
1.8533333333,PADME
1.86,PADME
1.8733333333,PADME
1.8866666667,PADME
1.9133333333,PADME
1.9466666667,PADME
1.9866666667,PADME
2.2904564315,PADME
2.3029045643,PADME
2.3070539419,PADME
2.3112033195,PADME
2.3153526971,PADME
2.3360995851,PADME
2.3609958506,PADME
2.3858921162,PADME
2.3900414938,PADME
2.3941908714,PADME
2.4232365145,PADME
2.4273858921,PADME
2.4813278008,PADME
2.489626556,PADME
2.5186721992,PADME
2.531120332,PADME
2.5394190871,PADME
2.6058091286,PADME
2.6680497925,PADME
2.6721991701,PADME
2.7302904564,PADME
2.7510373444,PADME
2.7717842324,PADME
2.77593361,PADME
2.7925311203,PADME
2.7966804979,PADME
2.8049792531,PADME
2.8091286307,PADME
2.8215767635,PADME
2.8838174274,PADME
2.8921161826,PADME
2.8962655602,PADME
2.9004149378,PADME
2.9294605809,PADME
2.9377593361,PADME
2.9460580913,PADME
2.9543568465,PADME
2.9585062241,PADME
2.9751037344,PADME
0.2295081967,R2-D2
0.2349726776,R2-D2
0.2568306011,R2-D2
0.2677595628,R2-D2
0.2786885246,R2-D2
0.2896174863,R2-D2
0.2950819672,R2-D2
0.3005464481,R2-D2
0.3224043716,R2-D2
0.3278688525,R2-D2
0.3551912568,R2-D2
0.3715846995,R2-D2
0.3770491803,R2-D2
0.4043715847,R2-D2
0.4153005464,R2-D2
0.4480874317,R2-D2
0.4863387978,R2-D2
0.4972677596,R2-D2
0.5027322404,R2-D2
0.5081967213,R2-D2
0.5355191257,R2-D2
0.5409836066,R2-D2
0.6120218579,R2-D2
0.6393442623,R2-D2
0.7267759563,R2-D2
0.7759562842,R2-D2
0.7868852459,R2-D2
0.7978142077,R2-D2
0.8087431694,R2-D2
0.8306010929,R2-D2
0.8415300546,R2-D2
0.8579234973,R2-D2
0.8907103825,R2-D2
0.8961748634,R2-D2
0.9453551913,R2-D2
0.9672131148,R2-D2
0.9726775956,R2-D2
0.9945355191,R2-D2
1.0133333333,R2-D2
1.08,R2-D2
1.0866666667,R2-D2
1.0933333333,R2-D2
1.1066666667,R2-D2
1.18,R2-D2
1.2133333333,R2-D2
1.2333333333,R2-D2
1.24,R2-D2
1.2666666667,R2-D2
1.4866666667,R2-D2
1.5666666667,R2-D2
1.76,R2-D2
1.7666666667,R2-D2
1.7733333333,R2-D2
1.82,R2-D2
1.8666666667,R2-D2
1.88,R2-D2
1.9333333333,R2-D2
1.9866666667,R2-D2
2.0041493776,R2-D2
2.020746888,R2-D2
2.0331950207,R2-D2
2.0373443983,R2-D2
2.0871369295,R2-D2
2.0912863071,R2-D2
2.0995850622,R2-D2
2.1037344398,R2-D2
2.112033195,R2-D2
2.1203319502,R2-D2
2.1244813278,R2-D2
2.1286307054,R2-D2
2.1369294606,R2-D2
2.1452282158,R2-D2
2.1493775934,R2-D2
2.153526971,R2-D2
2.1742738589,R2-D2
2.1825726141,R2-D2
2.1908713693,R2-D2
2.1991701245,R2-D2
2.2199170124,R2-D2
2.22406639,R2-D2
2.2282157676,R2-D2
2.2531120332,R2-D2
2.2572614108,R2-D2
2.2780082988,R2-D2
